Ville;Type_bien;loyer_median;loyer_mensuel_median;surface_moyenne;nombre_observations;prix_achat_median;surface_median;loyer_annuel;rendement_%
Grenoble;Maison;10,6;1150.0;112.0;85.0;146237.49999999997;59.0;13800.0;9.436703991794172
Grenoble;Maison;11,3;1200.0;113.0;92.0;146237.49999999997;59.0;14400.0;9.846995469698266
Grenoble;Maison;11,1;1239.0;120.0;88.0;146237.5;59.0;14868.0;10.167022822463458
Grenoble;Maison;11,1;1166.0;109.0;67.0;146237.5;59.0;13992.0;9.56799726472348
Grenoble;Maison;11,4;1215.0;106.0;88.0;146237.5;59.0;14580.0;9.970082913069493
Grenoble;Maison;11,4;1250.0;117.0;70.0;146237.5;59.0;15000.0;10.25728694760236
Grenoble;Maison;11,4;1215.0;107.0;64.0;146237.5;59.0;14580.0;9.970082913069493
Grenoble;Maison;9,7;762.0;90.0;89.0;146237.5;59.0;9144.0;6.252842123258398
Grenoble;Maison;9,7;1000.0;107.0;91.0;146237.50000000003;59.0;12000.0;8.205829558081886
Grenoble;Maison;10,6;1150.0;112.0;85.0;146237.49999999997;59.0;13800.0;9.436703991794172
Grenoble;Maison;11,3;1213.0;108.0;131.0;146237.5;59.0;14556.0;9.95367125395333
Grenoble;Appartement;10,9;631.0;62.0;5406.0;146237.5;59.0;7572.0;5.177878451149671
Grenoble;Appartement;14,1;420.0;30.0;694.0;146237.5;59.0;5040.0;3.4464484143943928
Grenoble;Appartement;12,5;550.0;45.0;1394.0;146237.5;59.0;6600.0;4.513206256945038
Grenoble;Appartement;10,7;675.0;65.0;1917.0;146237.5;59.0;8100.0;5.538934951705274
Grenoble;Appartement;9,6;780.0;89.0;1401.0;146237.5;59.0;9360.0;6.400547055303872
Grenoble;Appartement;14,1;420.0;30.0;694.0;146237.5;59.0;5040.0;3.4464484143943928
Grenoble;Appartement;12,5;550.0;45.0;1394.0;146237.5;59.0;6600.0;4.513206256945038
Grenoble;Appartement;10,7;675.0;65.0;1917.0;146237.5;59.0;8100.0;5.538934951705274
Grenoble;Appartement;9,6;780.0;89.0;1401.0;146237.5;59.0;9360.0;6.400547055303872
Grenoble;Appartement;11,5;650.0;61.0;936.0;146237.5;59.0;7800.0;5.333789212753227
Grenoble;Appartement;14,1;422.0;31.0;116.0;146237.5;59.0;5064.0;3.4628600735105564
Grenoble;Appartement;12,9;561.0;44.0;257.0;146237.50000000003;59.0;6732.0;4.6034703820839376
Grenoble;Appartement;10,9;694.0;64.0;319.0;146237.5;59.0;8328.0;5.69484571330883
Grenoble;Appartement;10,0;861.0;92.0;244.0;146237.50000000003;59.0;10332.0;7.0652192495085036
Grenoble;Appartement;10,7;627.0;63.0;4470.0;146237.49999999997;59.0;7524.0;5.145055132917344
Grenoble;Appartement;14,1;420.0;30.0;578.0;146237.5;59.0;5040.0;3.4464484143943928
Grenoble;Appartement;12,3;550.0;46.0;1137.0;146237.5;59.0;6600.0;4.513206256945038
Grenoble;Appartement;10,5;664.0;65.0;1598.0;146237.50000000003;59.0;7968.0;5.448670826566373
Grenoble;Appartement;9,4;750.0;88.0;1157.0;146237.5;59.0;9000.0;6.154372168561416
Grenoble;Appartement;11,5;650.0;61.0;936.0;146237.5;59.0;7800.0;5.333789212753227
Grenoble;Appartement;14,1;422.0;31.0;116.0;146237.5;59.0;5064.0;3.4628600735105564
Grenoble;Appartement;12,9;561.0;44.0;257.0;146237.50000000003;59.0;6732.0;4.6034703820839376
Grenoble;Appartement;10,9;694.0;64.0;319.0;146237.5;59.0;8328.0;5.69484571330883
Grenoble;Appartement;10,0;861.0;92.0;244.0;146237.50000000003;59.0;10332.0;7.0652192495085036
Grenoble;Appartement;10,7;627.0;63.0;4470.0;146237.49999999997;59.0;7524.0;5.145055132917344
Grenoble;Appartement;14,1;420.0;30.0;578.0;146237.5;59.0;5040.0;3.4464484143943928
Grenoble;Appartement;12,3;550.0;46.0;1137.0;146237.5;59.0;6600.0;4.513206256945038
Grenoble;Appartement;10,5;664.0;65.0;1598.0;146237.50000000003;59.0;7968.0;5.448670826566373
