Ville;Type_bien;loyer_median;loyer_mensuel_median;loyer_annuel;surface_moyenne;prix_m2_appartement;prix_achat_calc;rendement_%
Grenoble;Appartement;11,0;710.0;8520.0;66.0;2588;170808.0;4.988056765491078
Grenoble;Appartement;10,6;940.0;11280.0;90.0;2588;232920.0;4.842864502833591
Grenoble;Appartement;11,9;682.0;8184.0;61.0;2588;157868.0;5.184077837180429
Grenoble;Appartement;11,8;621.0;7452.0;53.0;2588;137164.0;5.432912426000992
Grenoble;Appartement;11,8;665.0;7980.0;62.0;2588;160456.0;4.973326020840604
Grenoble;Appartement;15,0;450.0;5400.0;30.0;2588;77640.0;6.9551777434312205
Grenoble;Appartement;13,1;590.0;7080.0;45.0;2588;116460.0;6.079340546110252
Grenoble;Appartement;11,2;725.0;8700.0;65.0;2588;168220.0;5.171798834859112
Grenoble;Appartement;10,0;839.0;10068.0;91.0;2588;235508.0;4.2750140122628535
Grenoble;Appartement;15,0;450.0;5400.0;30.0;2588;77640.0;6.9551777434312205
Grenoble;Appartement;13,1;590.0;7080.0;45.0;2588;116460.0;6.079340546110252
Grenoble;Appartement;11,2;725.0;8700.0;65.0;2588;168220.0;5.171798834859112
Grenoble;Appartement;10,0;839.0;10068.0;91.0;2588;235508.0;4.2750140122628535
Grenoble;Appartement;12,2;668.0;8016.0;61.0;2588;157868.0;5.077659817062355
Grenoble;Appartement;15,0;450.0;5400.0;32.0;2588;82816.0;6.520479134466769
Grenoble;Appartement;13,5;595.0;7140.0;45.0;2588;116460.0;6.13086038124678
Grenoble;Appartement;11,6;750.0;9000.0;67.0;2588;173396.0;5.190431151814344
Grenoble;Appartement;10,5;880.0;10560.0;93.0;2588;240684.0;4.3874956374333145
Grenoble;Appartement;11,5;665.0;7980.0;63.0;2588;163044.0;4.894384337970119
Grenoble;Appartement;15,2;446.0;5352.0;29.0;2588;75052.0;7.131055801311091
Grenoble;Appartement;12,9;584.0;7008.0;45.0;2588;116460.0;6.01751674394642
Grenoble;Appartement;11,2;720.0;8640.0;65.0;2588;168220.0;5.136131256687671
Grenoble;Appartement;10,0;817.0;9804.0;91.0;2588;235508.0;4.162915909438321
Grenoble;Appartement;12,2;668.0;8016.0;61.0;2588;157868.0;5.077659817062355
Grenoble;Appartement;15,0;450.0;5400.0;32.0;2588;82816.0;6.520479134466769
Grenoble;Appartement;13,5;595.0;7140.0;45.0;2588;116460.0;6.13086038124678
Grenoble;Appartement;11,6;750.0;9000.0;67.0;2588;173396.0;5.190431151814344
Grenoble;Appartement;10,5;880.0;10560.0;93.0;2588;240684.0;4.3874956374333145
Grenoble;Appartement;11,5;665.0;7980.0;63.0;2588;163044.0;4.894384337970119
Grenoble;Appartement;15,2;446.0;5352.0;29.0;2588;75052.0;7.131055801311091
Grenoble;Appartement;12,9;584.0;7008.0;45.0;2588;116460.0;6.01751674394642
Grenoble;Appartement;11,2;720.0;8640.0;65.0;2588;168220.0;5.136131256687671
Grenoble;Appartement;10,0;817.0;9804.0;91.0;2588;235508.0;4.162915909438321
Grenoble;Appartement;11,9;590.0;7080.0;61.0;2588;157868.0;4.484759419261661
Grenoble;Appartement;14,1;420.0;5040.0;31.0;2588;80228.0;6.282096026324973
Grenoble;Appartement;12,4;530.0;6360.0;46.0;2588;119048.0;5.342382904374706
Grenoble;Appartement;11,2;669.0;8028.0;63.0;2588;163044.0;4.92382424376242
Grenoble;Appartement;10,0;980.0;11760.0;110.0;2588;284680.0;4.130954053674301
Grenoble;Appartement;11,0;600.0;7200.0;61.0;2588;157868.0;4.560772290774571
Grenoble;Appartement;12,0;579.0;6948.0;61.0;2588;157868.0;4.4011452605974615
Grenoble;Appartement;10,8;636.0;7632.0;62.0;2588;160456.0;4.75644413421748
Grenoble;Appartement;15,4;410.0;4920.0;27.0;2588;69876.0;7.041044135325433
Grenoble;Appartement;13,3;569.0;6828.0;43.0;2588;111284.0;6.135652924050178
Grenoble;Appartement;10,8;645.0;7740.0;62.0;2588;160456.0;4.823752305928105
Grenoble;Appartement;9,7;730.0;8760.0;81.0;2588;209628.0;4.178831072185014
Grenoble;Appartement;11,3;650.0;7800.0;60.0;2588;155280.0;5.023183925811438
Grenoble;Appartement;10,7;631.0;7572.0;63.0;2588;163044.0;4.644145138735556
Grenoble;Appartement;11,2;700.0;8400.0;69.0;2588;178572.0;4.703984947248169
Grenoble;Appartement;15,0;450.0;5400.0;31.0;2588;80228.0;6.730817171062473
Grenoble;Appartement;12,4;580.0;6960.0;46.0;2588;119048.0;5.846381291579867
Grenoble;Appartement;10,6;743.0;8916.0;70.0;2588;181160.0;4.921616250827998
Grenoble;Appartement;10,0;900.0;10800.0;97.0;2588;251036.0;4.302171800060549
Grenoble;Appartement;11,3;775.0;9300.0;68.0;2588;175984.0;5.284571324665879
Grenoble;Appartement;11,2;687.0;8244.0;69.0;2588;178572.0;4.6166252267992745
