Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B3400;2024;L3400;;;;;;;;;;9,5;11,5;13,5;16,1;19,2;12,7;435;520;650;810;1050;702;56;14258;83572;Estimation directe
B3400;2024;L3400;;;;;;;;;Maison 1-3P;8,4;10,0;11,3;13,6;16,0;11,5;500;650;750;965;1100;795;69;101;3098;Estimation directe
B3400;2024;L3400;;;;;;;;;Ensemble 4P+;7,7;9,2;10,8;12,6;14,0;10,7;700;840;1000;1200;1400;1033;97;1108;15238;Estimation directe
B3400;2024;L3400;;;;;;;;;Maison 4P+;7,3;9,3;11,0;12,9;13,8;10,7;800;911;1100;1253;1400;1113;104;254;6441;Estimation directe
B3400;2024;L3400;;;;;;;;;Appart 1P;14,1;16,0;18,2;20,5;22,6;17,8;380;409;451;503;550;460;26;3811;17023;Estimation directe
B3400;2024;L3400;;;;;;;;;Appart 2P;11,5;12,8;14,4;16,0;17,6;14,1;499;550;605;661;730;609;43;5928;28472;Estimation directe
B3400;2024;L3400;;;;;;;;;Appart 3P;9,2;10,7;12,0;13,5;14,7;11,9;580;689;778;854;969;775;65;3310;19742;Estimation directe
B3400;2024;L3400;;;;;;;;;Appart 4P+;7,7;9,2;10,7;12,3;14,2;10,7;651;780;950;1150;1349;975;91;854;8797;Estimation directe
B3400;2024;L3400;;;;;;;;;Ensemble 1P;14,0;16,0;18,2;20,5;22,5;17,8;379;409;451;503;550;460;26;3814;17151;Estimation directe
B3400;2024;L3400;;;;;;;;;Ensemble 2P;11,5;12,8;14,4;16,0;17,6;14,1;495;550;605;665;732;612;43;5947;29287;Estimation directe
B3400;2024;L3400;;;;;;;;;Ensemble 3P;9,0;10,5;11,9;13,5;14,7;11,8;596;687;779;860;980;781;66;3389;21896;Estimation directe
B3400;2024;L3400;;;;;;;;Maison 1-3P;;8,4;10,0;11,3;13,6;16,0;11,5;500;650;750;965;1100;795;69;101;3098;Estimation directe
B3400;2024;L3400;;;;;;;;Ensemble 4P+;;7,7;9,2;10,8;12,6;14,0;10,7;700;840;1000;1200;1400;1033;97;1108;15238;Estimation directe
B3400;2024;L3400;;;;;;;;Maison 4P+;;7,3;9,3;11,0;12,9;13,8;10,7;800;911;1100;1253;1400;1113;104;254;6441;Estimation directe
B3400;2024;L3400;;;;;;;;Appart 1P;;14,1;16,0;18,2;20,5;22,6;17,8;380;409;451;503;550;460;26;3811;17023;Estimation directe
B3400;2024;L3400;;;;;;;;Appart 2P;;11,5;12,8;14,4;16,0;17,6;14,1;499;550;605;661;730;609;43;5928;28472;Estimation directe
