Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B7500;2024;L7501;;;;;;;;;;;23,2;26,6;30,3;;25,5;;812;1100;1528;;1276;50;3686;4;
B7500;2024;L7501;;;;;;;;;Maison 1-3P;;;;;;;;;;;;;;;4;Estimation �conom�trique (pour valeur de march�)
B7500;2024;L7501;;;;;;;;;Maison 4P+;;;;;;;;;;;;;;;4;Estimation �conom�trique (pour valeur de march�)
B7500;2024;L7501;;;;;;;;;Appart 1P;;26,6;30,2;34,2;;29,5;;644;754;852;;756;26;993;4;
B7500;2024;L7501;;;;;;;;;Appart 2P;;23,4;26,5;29,3;;26,1;;900;1086;1276;;1113;43;1327;4;
B7500;2024;L7501;;;;;;;;;Appart 3P;;21,3;24,2;27,5;;24,1;;1313;1519;1780;;1567;65;799;4;
B7500;2024;L7501;;;;;;;;;Appart 4P+;;20,4;24,1;27;;23,9;;1750;2253;2864;;2445;102;544;4;
B7500;2024;L7501;;;;;;;;;Ensemble 1P;;26,6;30,2;34,2;;29,5;;644;754;852;;756;26;993;4;
B7500;2024;L7501;;;;;;;;;Ensemble 2P;;23,4;26,5;29,3;;26,1;;900;1086;1276;;1113;43;1330;4;
B7500;2024;L7501;;;;;;;;;Ensemble 3P;;21,3;24,2;27,6;;24,1;;1313;1519;1783;;1567;65;803;4;
B7500;2024;L7501;;;;;;;;;Ensemble 4P+;;20,5;24,2;27,1;;24;;1750;2266;2889;;2469;103;560;4;
B7500;2024;L7501;;;;;;;;Maison;;;;;;;;;;;;;;;;4;Estimation �conom�trique (pour valeur de march�)
B7500;2024;L7501;;;;;;;;Appart 1P;;;26,6;30,2;34,2;;29,5;;644;754;852;;756;26;993;4;
B7500;2024;L7501;;;;;;;;Appart 2P;;;23,4;26,5;29,3;;26,1;;900;1086;1276;;1113;43;1327;4;
B7500;2024;L7501;;;;;;;;Appart 3P;;;21,3;24,2;27,5;;24,1;;1313;1519;1780;;1567;65;799;4;
B7500;2024;L7501;;;;;;;;Appart 4P+;;;20,4;24,1;27;;23,9;;1750;2253;2864;;2445;102;544;4;
B7500;2024;L7501;;;;;;;;Ensemble 1P;;;26,6;30,2;34,2;;29,5;;644;754;852;;756;26;993;4;
B7500;2024;L7501;;;;;;;;Ensemble 2P;;;23,4;26,5;29,3;;26,1;;900;1086;1276;;1113;43;1330;4;
B7500;2024;L7501;;;;;;;;Ensemble 3P;;;21,3;24,2;27,6;;24,1;;1313;1519;1783;;1567;65;803;4;
B7500;2024;L7501;;;;;;;;Ensemble 4P+;;;20,5;24,2;27,1;;24;;1750;2266;2889;;2469;103;560;4;
B7500;2024;L7501;;;;;;;1. Moins de 1 an;;;;24,9;27,5;31,2;;27,2;;798;1048;1420;;1226;45;445;4;
B7500;2024;L7501;;;;;;;1. Moins de 1 an;;Ensemble 1P;;28,8;31,9;35,5;;31,4;;637;764;852;;749;24;125;4;
B7500;2024;L7501;;;;;;;1. Moins de 1 an;;Ensemble 2P;;24,6;26,7;29,3;;26,7;;870;1090;1183;;1078;40;161;4;
B7500;2024;L7501;;;;;;;1. Moins de 1 an;;Ensemble 3P;;23,4;25;27;;25,3;;1350;1500;1762;;1576;62;92;4;
B7500;2024;L7501;;;;;;;1. Moins de 1 an;;Ensemble 4P+;;23,9;25,9;29,2;;26,6;;2009;2400;3263;;2762;104;67;4;
B7500;2024;L7501;;;;;;;2. 1 an et plus;;;;22,7;26,2;30;;25,2;;820;1118;1554;;1288;51;3241;4;
B7500;2024;L7501;;;;;;1. Moins de 1 an;;;;;24,9;27,5;31,2;;27,2;;798;1048;1420;;1226;45;445;4;
B7500;2024;L7501;;;;;;1. Moins de 1 an;;Ensemble 1P;;;28,8;31,9;35,5;;31,4;;637;764;852;;749;24;125;4;
B7500;2024;L7501;;;;;;1. Moins de 1 an;;Ensemble 2P;;;24,6;26,7;29,3;;26,7;;870;1090;1183;;1078;40;161;4;
B7500;2024;L7501;;;;;;1. Moins de 1 an;;Ensemble 3P;;;23,4;25;27;;25,3;;1350;1500;1762;;1576;62;92;4;
B7500;2024;L7501;;;;;;1. Moins de 1 an;;Ensemble 4P+;;;23,9;25,9;29,2;;26,6;;2009;2400;3263;;2762;104;67;4;
B7500;2024;L7501;;;;;;2. 1 an et plus;;;;;22,7;26,2;30;;25,2;;820;1118;1554;;1288;51;3241;4;
B7500;2024;L7501;;;;;1. Avant 1946;;;;;;23,9;27,5;31,3;;26,3;;808;1057;1550;;1307;50;1992;4;
B7500;2024;L7501;;;;;1. Avant 1946;;;;Ensemble 1P;;28,3;32,4;36,7;;31,8;;610;716;840;;741;23;433;4;
B7500;2024;L7501;;;;;1. Avant 1946;;;;Ensemble 2P;;24;26,7;30,3;;26,9;;870;1024;1195;;1076;40;771;4;
B7500;2024;L7501;;;;;1. Avant 1946;;;;Ensemble 3P;;22,1;25,2;28,6;;25;;1294;1530;1799;;1566;63;460;4;
B7500;2024;L7501;;;;;1. Avant 1946;;;;Ensemble 4P+;;21,2;24,9;27,9;;24,7;;1919;2559;3400;;2740;111;328;4;
B7500;2024;L7501;;;;;2. Entre 1946-1970;;;;;;22,9;26;29,3;;24,9;;806;1099;1450;;1205;48;698;4;
B7500;2024;L7501;;;;;2. Entre 1946-1970;;;;Ensemble 1P;;25,8;28,4;32,1;;28,2;;673;771;849;;763;27;231;4;
B7500;2024;L7501;;;;;2. Entre 1946-1970;;;;Ensemble 2P;;22,9;26,1;28,8;;25,6;;941;1150;1292;;1153;45;249;4;
B7500;2024;L7501;;;;;2. Entre 1946-1970;;;;Ensemble 3P;;20,4;23,4;26,8;;23,6;;1265;1486;1783;;1552;66;134;4;
B7500;2024;L7501;;;;;2. Entre 1946-1970;;;;Ensemble 4P+;;20;23,1;25,5;;22,6;;1700;2225;2400;;2138;95;84;4;
B7500;2024;L7501;;;;;3. Entre 1971-1990;;;;;;22,2;25,5;29,1;;24,6;;807;1125;1489;;1234;50;717;4;
B7500;2024;L7501;;;;;3. Entre 1971-1990;;;;Ensemble 1P;;25,3;28,8;32,6;;27,8;;672;773;867;;768;28;254;4;
B7500;2024;L7501;;;;;3. Entre 1971-1990;;;;Ensemble 2P;;22,1;25,2;27,8;;24,7;;982;1155;1319;;1147;47;215;4;
B7500;2024;L7501;;;;;3. Entre 1971-1990;;;;Ensemble 3P;;19,8;23,2;24,9;;22,9;;1313;1483;1677;;1556;68;146;4;
B7500;2024;L7501;;;;;3. Entre 1971-1990;;;;Ensemble 4P+;;20,6;23,5;26,7;;23,7;;1700;2095;2487;;2186;92;102;4;
B7500;2024;L7501;;;;;4. Entre 1991-2005;;;;;;;;;;;;;;;;;;;4;Estimation �conom�trique (pour valeur de march�)
B7500;2024;L7501;;;;;4. Entre 1991-2005;;;;Ensemble 1P;;;;;;;;;;;;;;;4;Estimation �conom�trique (pour valeur de march�)
B7500;2024;L7501;;;;;4. Entre 1991-2005;;;;Ensemble 2P;;;;;;;;;;;;;;;4;Estimation �conom�trique (pour valeur de march�)
B7500;2024;L7501;;;;;4. Entre 1991-2005;;;;Ensemble 3P;;;;;;;;;;;;;;;4;Estimation �conom�trique (pour valeur de march�)
B7500;2024;L7501;;;;;4. Entre 1991-2005;;;;Ensemble 4P+;;;;;;;;;;;;;;;4;Estimation �conom�trique (pour valeur de march�)
B7500;2024;L7501;;;;;5. Apr�s 2005;;;;;;;;;;;;;;;;;;;4;Estimation �conom�trique (pour valeur de march�)
B7500;2024;L7501;;;;;5. Apr�s 2005;;;;Ensemble 1P;;;;;;;;;;;;;;;4;Estimation �conom�trique (pour valeur de march�)
B7500;2024;L7501;;;;;5. Apr�s 2005;;;;Ensemble 2P;;;;;;;;;;;;;;;4;Estimation �conom�trique (pour valeur de march�)
B7500;2024;L7501;;;;;5. Apr�s 2005;;;;Ensemble 3P;;;;;;;;;;;;;;;4;Estimation �conom�trique (pour valeur de march�)
B7500;2024;L7501;;;;;5. Apr�s 2005;;;;Ensemble 4P+;;;;;;;;;;;;;;;4;Estimation �conom�trique (pour valeur de march�)
B7500;2024;L7501;;;;1. Avant 1946;;;;;;;23,9;27,5;31,3;;26,3;;808;1057;1550;;1307;50;1992;4;
B7500;2024;L7501;;;;1. Avant 1946;;;;Ensemble 1P;;;28,3;32,4;36,7;;31,8;;610;716;840;;741;23;433;4;
B7500;2024;L7501;;;;1. Avant 1946;;;;Ensemble 2P;;;24;26,7;30,3;;26,9;;870;1024;1195;;1076;40;771;4;
B7500;2024;L7501;;;;1. Avant 1946;;;;Ensemble 3P;;;22,1;25,2;28,6;;25;;1294;1530;1799;;1566;63;460;4;
B7500;2024;L7501;;;;1. Avant 1946;;;;Ensemble 4P+;;;21,2;24,9;27,9;;24,7;;1919;2559;3400;;2740;111;328;4;
