Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B5900;2023;L5900;;;;;;;;;;8,0;9,7;11,7;14,1;16,9;11,0;432;520;630;778;940;675;61;27289;115207;Estimation directe
B5900;2023;L5900;;;;;;;;;Maison 1-3P;7,7;9,1;10,7;12,5;15,0;10,6;450;550;650;760;837;655;62;633;6236;Estimation directe
B5900;2023;L5900;;;;;;;;;Ensemble 4P+;6,5;7,9;9,4;10,8;12,5;9,4;600;700;813;970;1234;882;94;3512;33088;Estimation directe
B5900;2023;L5900;;;;;;;;;Maison 4P+;6,5;7,8;9,2;10,5;12,0;9,1;600;700;810;960;1206;868;96;1883;22105;Estimation directe
B5900;2023;L5900;;;;;;;;;Appart 1P;12,1;14,1;16,5;19,2;22,2;16,0;340;393;447;500;550;446;28;4621;16883;Estimation directe
B5900;2023;L5900;;;;;;;;;Appart 2P;10,2;11,6;13,1;14,8;16,6;12,9;450;503;560;628;690;567;44;11565;36020;Estimation directe
B5900;2023;L5900;;;;;;;;;Appart 3P;8,5;9,8;11,0;12,3;13,9;11,0;553;621;700;800;900;719;65;6958;22981;Estimation directe
B5900;2023;L5900;;;;;;;;;Appart 4P+;6,6;8,2;9,9;11,7;13,3;10,1;610;690;820;1000;1260;910;90;1629;10983;Estimation directe
B5900;2023;L5900;;;;;;;;;Ensemble 1P;12,1;14,1;16,5;19,2;22,2;16,0;340;394;449;500;550;447;28;4631;17262;Estimation directe
B5900;2023;L5900;;;;;;;;;Ensemble 2P;10,1;11,6;13,1;14,8;16,6;12,9;450;500;560;630;692;567;44;11703;37698;Estimation directe
B5900;2023;L5900;;;;;;;;;Ensemble 3P;8,3;9,6;10,9;12,2;13,8;10,8;550;620;700;797;890;714;66;7443;27160;Estimation directe
B5900;2023;L5900;;;;;;;;Maison;;6,7;8,0;9,5;10,9;12,8;9,3;550;660;780;909;1139;822;88;2516;28340;Estimation directe
B5900;2023;L5900;;;;;;;;Appart 1P;;12,1;14,1;16,5;19,2;22,2;16,0;340;393;447;500;550;446;28;4621;16883;Estimation directe
B5900;2023;L5900;;;;;;;;Appart 2P;;10,2;11,6;13,1;14,8;16,6;12,9;450;503;560;628;690;567;44;11565;36020;Estimation directe
B5900;2023;L5900;;;;;;;;Appart 3P;;8,5;9,8;11,0;12,3;13,9;11,0;553;621;700;800;900;719;65;6958;22981;Estimation directe
B5900;2023;L5900;;;;;;;;Appart 4P+;;6,6;8,2;9,9;11,7;13,3;10,1;610;690;820;1000;1260;910;90;1629;10983;Estimation directe
B5900;2023;L5900;;;;;;;;Ensemble 1P;;12,1;14,1;16,5;19,2;22,2;16,0;340;394;449;500;550;447;28;4631;17262;Estimation directe
B5900;2023;L5900;;;;;;;;Ensemble 3P;;10,1;11,6;13,1;14,8;16,6;12,9;450;500;560;630;692;567;44;11703;37698;Estimation directe
B5900;2023;L5900;;;;;;;;Ensemble 3P;;8,3;9,6;10,9;12,2;13,8;10,8;550;620;700;797;890;714;66;7443;27160;Estimation directe
B5900;2023;L5900;;;;;;;;Ensemble 4P+;;6,5;7,9;9,4;10,8;12,5;9,4;600;700;813;970;1234;882;94;3512;33088;Estimation directe
B5900;2023;L5900;;;;;;;1. Moins de 1 an;;;9,2;10,6;12,5;14,9;17,7;12,0;445;523;631;786;955;688;58;9120;;Estimation directe
B5900;2023;L5900;;;;;;;1. Moins de 1 an;;Maison 1-3P;8,4;9,2;11,3;13,3;16,7;10,9;500;600;690;780;807;682;62;185;;Estimation directe
B5900;2023;L5900;;;;;;;1. Moins de 1 an;;Ensemble 4P+;7,6;9,1;10,3;11,8;13,5;10,5;680;776;893;1050;1275;978;93;949;;Estimation directe
B5900;2023;L5900;;;;;;;1. Moins de 1 an;;Maison 4P+;7,4;9,0;10,0;11,1;12,8;9,9;700;800;893;1071;1300;960;97;472;;Estimation directe
B5900;2023;L5900;;;;;;;1. Moins de 1 an;;Appart 1P;12,4;14,6;17,1;19,9;22,3;16,4;337;400;454;520;558;456;28;1719;;Estimation directe
B5900;2023;L5900;;;;;;;1. Moins de 1 an;;Appart 2P;10,9;11,9;13,3;15,0;16,7;13,3;467;516;573;640;700;578;44;3996;;Estimation directe
B5900;2023;L5900;;;;;;;1. Moins de 1 an;;Appart 3P;9,1;10,3;11,4;12,9;14,6;11,5;583;650;730;839;927;750;65;2271;;Estimation directe
B5900;2023;L5900;;;;;;;1. Moins de 1 an;;Appart 4P+;7,7;9,3;10,7;12,6;13,8;11,3;620;750;888;1040;1260;1001;88;477;;Estimation directe
