Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B3800;2023;L3800;;;;;;;;;;8,4;9,8;11,3;13,1;15,3;10,9;430;525;631;777;990;685;63;13015;57276;Estimation directe
B3800;2023;L3800;;;;;;;;;Maison 1-3P;7,3;8,6;11,0;13,1;15,6;10,4;434;508;600;700;840;628;60;170;1409;Estimation directe
B3800;2023;L3800;;;;;;;;;Ensemble 4P+;7,2;8,6;9,9;11,2;12,7;9,8;610;706;870;1100;1400;944;96;2906;14756;Estimation directe
B3800;2023;L3800;;;;;;;;;Maison 4P+;7,1;8,7;10,4;12,1;13,4;10,0;780;940;1198;1400;1650;1188;118;440;3616;Estimation directe
B3800;2023;L3800;;;;;;;;;Appart 1P;11,4;13,1;15,0;17,6;21,3;14,9;320;370;420;478;530;425;29;2171;7511;Estimation directe
B3800;2023;L3800;;;;;;;;;Appart 2P;9,8;11,0;12,4;13,9;15,5;12,2;450;500;561;620;672;561;46;3923;16061;Estimation directe
B3800;2023;L3800;;;;;;;;;Appart 3P;8,5;9,6;10,7;11,8;12,9;10,6;534;600;690;776;856;694;65;3845;17541;Estimation directe
B3800;2023;L3800;;;;;;;;;Appart 4P+;7,3;8,6;9,8;11,0;12,3;9,7;598;680;800;985;1217;865;89;2466;11140;Estimation directe
B3800;2023;L3800;;;;;;;;;Ensemble 1P;11,4;13,1;15,0;17,6;21,2;14,9;320;370;420;477;530;425;29;2180;7614;Estimation directe
B3800;2023;L3800;;;;;;;;;Ensemble 2P;9,8;11,0;12,4;13,9;15,5;12,2;450;500;561;620;671;562;46;3995;16463;Estimation directe
B3800;2023;L3800;;;;;;;;;Ensemble 3P;8,4;9,5;10,7;11,8;12,9;10,6;532;600;688;776;858;693;66;3934;18443;Estimation directe
B3800;2023;L3800;;;;;;;;Maison;;7,1;8,6;10,5;12,4;13,8;10,1;572;700;1000;1316;1550;1036;103;610;5024;Estimation directe
