Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B1300;2024;L1300;;;;;;;;;;9,3;11,1;13,2;15,7;18,7;12,7;470;570;700;856;1115;757;60;28799;238171;Estimation directe
B1300;2024;L1300;;;;;;;;;Maison 1-3P;8,1;10,7;13,3;16,3;19,3;13,0;510;647;780;920;1110;804;62;597;16190;Estimation directe
B1300;2024;L1300;;;;;;;;;Ensemble 4P+;8,1;9,6;11,1;13,3;15,0;11,2;678;800;1000;1280;1550;1076;96;3713;49786;Estimation directe
B1300;2024;L1300;;;;;;;;;Maison 4P+;8,1;9,9;12,1;14,2;16,1;11,6;800;980;1200;1450;1700;1246;108;706;18877;Estimation directe
B1300;2024;L1300;;;;;;;;;Appart 1P;12,7;15,0;17,5;21,0;24,1;17,3;367;420;480;540;617;485;28;4662;30908;Estimation directe
B1300;2024;L1300;;;;;;;;;Appart 2P;11,1;12,5;14,6;16,7;18,9;14,4;470;540;610;683;766;617;43;10633;70184;Estimation directe
B1300;2024;L1300;;;;;;;;;Appart 3P;9,2;10,7;12,1;13,8;15,4;12,2;580;670;750;870;1000;779;64;9194;71103;Estimation directe
B1300;2024;L1300;;;;;;;;;Appart 4P+;8,0;9,4;10,7;12,4;14,0;10,9;650;750;900;1100;1392;973;89;3007;30908;Estimation directe
B1300;2024;L1300;;;;;;;;;Ensemble 1P;12,7;15,0;17,5;21,0;24,1;17,3;368;420;480;540;617;486;28;4690;31770;Estimation directe
B1300;2024;L1300;;;;;;;;;Ensemble 2P;11,1;12,5;14,7;16,8;18,9;14,5;470;542;610;692;780;622;43;10780;75166;Estimation directe
B1300;2024;L1300;;;;;;;;;Ensemble 3P;9,0;10,6;12,2;14,0;15,8;12,2;580;670;762;884;1014;789;65;9616;81449;Estimation directe
B1300;2024;L1300;;;;;;;;Maison;;8,1;10,0;12,5;15,1;17,6;12,0;600;763;976;1285;1520;1042;87;1303;35068;Estimation directe
B1300;2024;L1300;;;;;;;;Appart 1P;;12,7;15,0;17,5;21,0;24,1;17,3;367;420;480;540;617;485;28;4662;30908;Estimation directe
B1300;2024;L1300;;;;;;;;Appart 2P;;11,1;12,5;14,6;16,7;18,9;14,4;470;540;610;683;766;617;43;10633;70184;Estimation directe
B1300;2024;L1300;;;;;;;;Appart 3P;;9,2;10,7;12,1;13,8;15,4;12,2;580;670;750;870;1000;779;64;9194;71103;Estimation directe
B1300;2024;L1300;;;;;;;;Appart 4P+;;8,0;9,4;10,7;12,4;14,0;10,9;650;750;900;1100;1392;973;89;3007;30908;Estimation directe
B1300;2024;L1300;;;;;;;;Ensemble 1P;;12,7;15,0;17,5;21,0;24,1;17,3;368;420;480;540;617;486;28;4690;31770;Estimation directe
B1300;2024;L1300;;;;;;;;Ensemble 2P;;11,1;12,5;14,7;16,8;18,9;14,5;470;542;610;692;780;622;43;10780;75166;Estimation directe
B1300;2024;L1300;;;;;;;;Ensemble 3P;;9,0;10,6;12,2;14,0;15,8;12,2;580;670;762;884;1014;789;65;9616;81449;Estimation directe
B1300;2024;L1300;;;;;;;;Ensemble 4P+;;8,1;9,6;11,1;13,3;15,0;11,2;678;800;1000;1280;1550;1076;96;3713;49786;Estimation directe
B1300;2024;L1300;;;;;;;1. Moins de 1 an;;;10,5;12,1;14,3;17,1;20,4;13,9;490;582;702;900;1150;784;57;8576;;Estimation directe
B1300;2024;L1300;;;;;;;1. Moins de 1 an;;Ensemble 4P+;9,3;10,4;12,1;14,0;16,7;12,4;745;900;1138;1440;1800;1226;99;848;;Estimation directe
B1300;2024;L1300;;;;;;;1. Moins de 1 an;;Ensemble 1P;14,3;16,4;19,7;22,9;26,8;19,2;398;450;500;565;630;508;26;1649;;Estimation directe
B1300;2024;L1300;;;;;;;1. Moins de 1 an;;Ensemble 2P;11,8;13,5;15,4;17,5;20,0;15,3;500;560;630;700;781;641;42;3435;;Estimation directe
B1300;2024;L1300;;;;;;;1. Moins de 1 an;;Ensemble 3P;10,1;11,6;13,0;14,6;16,8;13,0;620;720;810;931;1100;841;64;2644;;Estimation directe
B1300;2024;L1300;;;;;;;2. 1 an et plus;;;9,0;10,8;12,8;15,2;17,9;12,3;462;562;700;850;1100;747;61;20223;;Estimation directe
B1300;2024;L1300;;;;;;;2. 1 an et plus;;Ensemble 4P+;8,0;9,4;10,8;12,9;14,6;10,9;654;792;976;1236;1500;1039;96;2865;;Estimation directe
B1300;2024;L1300;;;;;;;2. 1 an et plus;;Ensemble 1P;12,2;14,3;16,7;20,0;23,0;16,6;360;410;470;530;610;476;29;3041;;Estimation directe
B1300;2024;L1300;;;;;;;2. 1 an et plus;;Ensemble 2P;10,8;12,3;14,4;16,4;18,7;14,1;460;532;600;681;780;615;43;7345;;Estimation directe
B1300;2024;L1300;;;;;;;2. 1 an et plus;;Ensemble 3P;8,8;10,3;11,9;13,6;15,4;11,9;560;650;750;860;1000;771;65;6972;;Estimation directe
B1300;2024;L1300;;;;;;1. Moins de 1 an;;;;10,5;12,1;14,3;17,1;20,4;13,9;490;582;702;900;1150;784;57;8576;;Estimation directe
B1300;2024;L1300;;;;;;1. Moins de 1 an;;Maison;;8,9;11,8;13,9;16,7;19,0;13,5;660;805;1138;1400;1875;1198;89;331;;Estimation directe
B1300;2024;L1300;;;;;;1. Moins de 1 an;;Appart 1P;;14,3;16,4;19,7;22,9;26,8;19,2;398;449;500;565;630;507;26;1642;;Estimation directe
B1300;2024;L1300;;;;;;1. Moins de 1 an;;Appart 2P;;11,8;13,3;15,4;17,5;20,0;15,3;500;560;629;700;780;639;42;3409;;Estimation directe
B1300;2024;L1300;;;;;;1. Moins de 1 an;;Appart 3P;;10,4;11,7;13,0;14,6;16,5;13,1;620;718;801;910;1080;829;63;2531;;Estimation directe
