Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B3300;2024;L3300;;;;;;;;;;9,5;10,9;12,6;15,0;18,5;12,3;450;543;660;826;1076;724;59;23981;137823;Estimation directe
B3300;2024;L3300;;;;;;;;;Maison 1-3P;8,1;10,2;12,0;14,5;17,2;11,8;500;650;751;865;1000;764;65;683;9394;Estimation directe
B3300;2024;L3300;;;;;;;;;Ensemble 4P+;7,9;9,4;10,8;12,5;14,1;10,9;700;848;1000;1245;1500;1067;98;2967;28872;Estimation directe
B3300;2024;L3300;;;;;;;;;Maison 4P+;7,8;9,3;10,9;12,6;14,2;11,0;750;890;1071;1300;1552;1126;103;1149;16476;Estimation directe
B3300;2024;L3300;;;;;;;;;Appart 1P;12,8;14,7;17,4;20,8;23,3;17,1;370;418;462;520;591;474;28;2922;23824;Estimation directe
B3300;2024;L3300;;;;;;;;;Appart 2P;10,9;12,1;13,2;15,0;17,1;13,4;496;540;587;648;720;599;45;9951;44808;Estimation directe
B3300;2024;L3300;;;;;;;;;Appart 3P;9,4;10,6;11,5;12,6;14,3;11,6;613;685;742;818;941;767;66;7458;30925;Estimation directe
B3300;2024;L3300;;;;;;;;;Appart 4P+;8,1;9,6;10,6;12,1;14,0;10,8;677;800;914;1100;1412;988;92;1818;12396;Estimation directe
B3300;2024;L3300;;;;;;;;;Ensemble 1P;12,8;14,7;17,4;20,8;23,3;17,1;370;419;463;520;598;475;28;2931;24232;Estimation directe
B3300;2024;L3300;;;;;;;;;Ensemble 2P;10,8;12,1;13,2;15,1;17,2;13,4;494;540;590;650;730;602;45;10085;47106;Estimation directe
B3300;2024;L3300;;;;;;;;;Ensemble 3P;9,2;10,5;11,5;12,7;14,6;11,5;606;686;750;837;961;774;67;7998;37613;Estimation directe
B3300;2024;L3300;;;;;;;;Maison 1-3P;;8,1;10,2;12,0;14,5;17,2;11,8;500;650;751;865;1000;764;65;683;9394;Estimation directe
B3300;2024;L3300;;;;;;;;Ensemble 4P+;;7,9;9,4;10,8;12,5;14,1;10,9;700;848;1000;1245;1500;1067;98;2967;28872;Estimation directe
B3300;2024;L3300;;;;;;;;Maison 4P+;;7,8;9,3;10,9;12,6;14,2;11,0;750;890;1071;1300;1552;1126;103;1149;16476;Estimation directe
B3300;2024;L3300;;;;;;;;Appart 1P;;12,8;14,7;17,4;20,8;23,3;17,1;370;418;462;520;591;474;28;2922;23824;Estimation directe
B3300;2024;L3300;;;;;;;;Appart 2P;;10,9;12,1;13,2;15,0;17,1;13,4;496;540;587;648;720;599;45;9951;44808;Estimation directe
B3300;2024;L3300;;;;;;;;Appart 3P;;9,4;10,6;11,5;12,6;14,3;11,6;613;685;742;818;941;767;66;7458;30925;Estimation directe
B3300;2024;L3300;;;;;;;;Appart 4P+;;8,1;9,6;10,6;12,1;14,0;10,8;677;800;914;1100;1412;988;92;1818;12396;Estimation directe
B3300;2024;L3300;;;;;;;;Ensemble 1P;;12,8;14,7;17,4;20,8;23,3;17,1;370;419;463;520;598;475;28;2931;24232;Estimation directe
B3300;2024;L3300;;;;;;;;Ensemble 2P;;10,8;12,1;13,2;15,1;17,2;13,4;494;540;590;650;730;602;45;10085;47106;Estimation directe
B3300;2024;L3300;;;;;;;;Ensemble 3P;;9,2;10,5;11,5;12,7;14,6;11,5;606;686;750;837;961;774;67;7998;37613;Estimation directe
B3300;2024;L3300;;;;;;;1. Moins de 1 an;;;10,5;11,7;13,4;16,2;20,1;13,3;460;548;662;830;1126;737;56;6761;;Estimation directe
B3300;2024;L3300;;;;;;;1. Moins de 1 an;;Ensemble 4P+;9,2;10,4;11,5;13,3;15,3;11,9;819;908;1100;1350;1639;1193;100;744;;Estimation directe
